annee,smic_horaire_brut_eur,smic_mensuel_brut_eur,smic_mensuel_net_eur,evolution_pct,date_revalorisation,source
2010,8.86,1343.77,1056.24,1.6,2010-01-01,Insee
2011,9.0,1365.0,1072.07,1.6,2011-01-01,Insee
2012,9.22,1398.37,1098.27,2.4,2012-01-01,Insee
2013,9.43,1430.22,1121.71,1.4,2013-01-01,Insee
2014,9.53,1445.38,1133.6,0.7,2014-01-01,Insee
2015,9.61,1457.52,1142.83,0.4,2015-01-01,Insee
2016,9.67,1466.62,1149.97,0.6,2016-01-01,Insee
2017,9.76,1480.27,1153.0,0.93,2017-01-01,Insee
2018,9.88,1498.47,1184.0,1.2,2018-01-01,Insee
2019,10.03,1521.22,1202.92,1.5,2019-01-01,Insee
2020,10.15,1539.42,1219.0,1.2,2020-01-01,Insee
2021,10.48,1589.47,1258.62,2.1,2021-10-01,Insee
2022,11.07,1678.95,1329.05,5.6,2022-08-01,Insee
2023,11.52,1747.2,1383.08,3.7,2023-05-01,Insee
2024,11.65,1766.92,1398.69,1.13,2024-01-01,Insee
2025,11.88,1801.8,1426.3,2.0,2024-11-01,Insee
2026,12.02,1823.03,1443.11,1.18,2026-01-01,info.gouv.fr
